old_url,new_url,status_code
/10-best-presentations-1-million-cups-far,/blog/10-best-presentations-1-million-cups-far,301
/10-inspiring-female-entrepreneurs-supporting-women-social-enterprise,/blog/10-inspiring-female-entrepreneurs-supporting-women-social-enterprise,301
/100x-impact-accelerator,/blog/100x-impact-accelerator,301
/100x-impact-accelerator-cohort,/blog/100x-impact-accelerator-cohort,301
/15-fashion-quotes-from-industry-leaders,/blog/15-fashion-quotes-from-industry-leaders,301
/15-social-entrepreneurs-watch-2014,/blog/15-social-entrepreneurs-watch-2014,301
/16-year-old-raises-3-5m-to-scale-biochar-production-and-boost-regenerative-agriculture,/blog/16-year-old-raises-3-5m-to-scale-biochar-production-and-boost-regenerative-agriculture,301
/18-social-entrepreneurs-watch-2015,/blog/18-social-entrepreneurs-watch-2015,301
/1money-launches-with-20m-in-funding-to-revolutionize-stablecoin-payments,/blog/1money-launches-with-20m-in-funding-to-revolutionize-stablecoin-payments,301
/20-best-synonyms-for-climate,/blog/20-best-synonyms-for-climate,301
/20-inspiring-ceos-changing-world,/blog/20-inspiring-ceos-changing-world,301
/25-impact-investing-terms-every-beginner-should-know,/blog/25-impact-investing-terms-every-beginner-should-know,301
/30-ways-to-use-biodiversity-in-a-sentence,/blog/30-ways-to-use-biodiversity-in-a-sentence,301
/30-ways-to-use-conservation-in-a-sentence-2,/blog/30-ways-to-use-conservation-in-a-sentence-2,301
/300-million-all-aboard-coalition-fund-launches-to-bridge-the-climate-tech-missing-middle,/blog/300-million-all-aboard-coalition-fund-launches-to-bridge-the-climate-tech-missing-middle,301
/337-zero-waste-sustainable-basics,/blog/337-zero-waste-sustainable-basics,301
/5-life-changing-lessons-i-learned-after-interviewing-100-social-entrepreneurs,/blog/5-life-changing-lessons-i-learned-after-interviewing-100-social-entrepreneurs,301
/5-revolutionary-supermarkets-changing-shopping-experience,/blog/5-revolutionary-supermarkets-changing-shopping-experience,301
/5-tips-building-strong-volunteer-base-organization,/blog/5-tips-building-strong-volunteer-base-organization,301
/5th-world-modern-self-sustaining-homesteads,/blog/5th-world-modern-self-sustaining-homesteads,301
/6-technology-tools-fighting-end-global-poverty,/blog/6-technology-tools-fighting-end-global-poverty,301
/7-virtues-perfume,/blog/7-virtues-perfume,301
/8-circular-economy-examples,/blog/8-circular-economy-examples,301
/8b-education-investments-affordable-financing,/blog/8b-education-investments-affordable-financing,301
/8b-education-investments-african-student-education,/blog/8b-education-investments-african-student-education,301
/8x-ventures-deeptech,/blog/8x-ventures-deeptech,301
/a-conversation-with-kate-williams-ceo-of-one-percent-for-the-planet,/podcast/disruptors-for-good/a-conversation-with-kate-williams-ceo-of-one-percent-for-the-planet,301
/a-place-at-the-table-restaurant-industry,/podcast/disruptors-for-good/a-place-at-the-table-restaurant-industry,301
/abillion-app,/blog/abillion-app,301
/about-us,/blog/about-us,301
/accelerator-first-time-homebuyer-program,/blog/accelerator-first-time-homebuyer-program,301
/accion-launches-61m-fund-to-back-fintech-startups,/blog/accion-launches-61m-fund-to-back-fintech-startups,301
/acre-daos-web3-impact-investing,/blog/acre-daos-web3-impact-investing,301
/active-surfaces-raises-5m-flexible-solar-energy,/blog/active-surfaces-raises-5m-flexible-solar-energy,301
/adaptive-commons-a-vision-for-public-good-in-real-estate,/podcast/disruptors-for-good/adaptive-commons-a-vision-for-public-good-in-real-estate,301
/adaptive-reuse-definition-and-examples,/blog/adaptive-reuse-definition-and-examples,301
/addionics-raises-39-million-series-b-to-innovate-cost-efficient-ev-battery-technology,/blog/addionics-raises-39-million-series-b-to-innovate-cost-efficient-ev-battery-technology,301
/addressing-healthcare-worker-shortages-stepful,/blog/addressing-healthcare-worker-shortages-stepful,301
/administration-invests-2million-to-measure-surface-ocean-carbon,/blog/administration-invests-2million-to-measure-surface-ocean-carbon,301
/adobe-capital-impact-investing-mexico,/podcast/adobe-capital-impact-investing-mexico,301
/adventure-project-creating-jobs,/blog/adventure-project-creating-jobs,301
/advice-from-social-entrepreneurs,/blog/advice-from-social-entrepreneurs,301
/advocacy-to-innovation-jerry-golden-chief-policy-officer-at-lyft,/podcast/disruptors-for-good/advocacy-to-innovation-jerry-golden-chief-policy-officer-at-lyft,301
/aerflo-zero-waste-sparkling-water-brand,/blog/aerflo-zero-waste-sparkling-water-brand,301
/aether-beauty-disrupting-clean-cosmetics,/podcast/aether-beauty-disrupting-clean-cosmetics,301
/aether-diamonds-sustainable-startup,/podcast/aether-diamonds-sustainable-startup,301
/affiliate-disclosure,/blog/affiliate-disclosure,301
/agaati-keeping-traditional-weaving-alive,/blog/agaati-keeping-traditional-weaving-alive,301
/agroforestry,/blog/agroforestry,301
/ai-agriculture-startups-innovating-farming,/blog/ai-agriculture-startups-innovating-farming,301
/ai-agriculture-startups-meet-the-the-investment-bank-for-conservation,/blog/ai-agriculture-startups-meet-the-the-investment-bank-for-conservation,301
/ai-education-startups,/blog/ai-education-startups,301
/aidkit-modernizing-aid-distribution,/podcast/disruptors-for-good/aidkit-modernizing-aid-distribution,301
